source_file,listing_text,city,locality,property_type,bhk,sqft_builtup,sqft_uds,floor,facing,price_value,price_unit,price_in_inr,is_rental,rent_value,rent_unit,rent_in_inr,contact_numbers
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, independence house, sale Rs. 3.10 crore, 40x23. Flat sale, Rs. 85 lakhs, 1 floor, 870 sq.ft., near ChitraKulam. Agent: 9710049043",Chennai,Mylapore,Independent House,,870.0,,,,3.1,crore,31000000.0,False,3.1,,3.0,9710049043
MTClassifiedsFeb72026-1.pdf,"SAN THOME, near Church, 880 sq.ft., 2 BHK, third floor, UDS 462 sq.ft., 17 years old, lift, covered car parking, gated community, Price 1.15 crores. K. Gopalakrishnan: 9380964793",Chennai,San Thome,Unknown,2.0,880.0,462.0,,,1.15,crores,11500000.0,False,,,,9380964793
MTClassifiedsFeb72026-1.pdf,"1650 sq.ft., new flat, Mylapore, near Kutchery Road, Rate 2.85 crores, 1750 sq.ft., new flat, Mylapore, Rs. 3.25 crores. Ph: 9840630359",Chennai,Mylapore,Apartment,,1650.0,,,,3.25,crores,32500000.0,False,3.25,,3.0,9840630359
MTClassifiedsFeb72026-1.pdf,"ELDAMS Road, 750 sq.ft., 2 BHK, with 2 spacious ots,1st floor, UDS 308 sq.ft., north facing, 40yrs old, Rate 75 lakhs, brokers excuse. Ph: 9003073053 call & visits only on Sat & Sun",Chennai,,Unknown,2.0,750.0,308.0,1.0,North,75.0,lakhs,7500000.0,False,,,,9003073053
MTClassifiedsFeb72026-1.pdf,"SALE Mylapore, Near Mundakanniaman Koil Street, independent house, G+2, land 750 sq.ft., built-up 2250 sq.ft., 15×50, north face, Rate 2.15 crores. Manju Reality: 9176700483",Chennai,Mylapore,Land,,750.0,,,,2.15,crores,21500000.0,False,,,,9176700483
MTClassifiedsFeb72026-1.pdf,"RESIDENTIAL plots available for sale, Neelankarai 9 grounds, MRC Nagar, 1 to 3 grounds, Venus Colony, 3 grounds, Velachery 1.50 grounds. Whatsapp your interest to 6380776545",Chennai,MRC Nagar,Land,,,,,,,,,False,,,,6380776545
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, 2BHK, 3 bathrooms, road facing balcony, 2nd floor, no lift, Rs. 55L, near Kapaleeshwarar Temple, San Thome Church. Ph: 9345961414",Chennai,Mylapore,Unknown,2.0,,,2.0,,,,,False,55.0,L,5500000.0,9345961414
MTClassifiedsFeb72026-1.pdf,"ALWARPET, prime location, 4 BHK, 2750 sq.ft., UDS 1785 sq.ft., first floor, Vaastu, Rate 7.5Cr, only veg, no brokers. Ph: 8056285606",Chennai,Alwarpet,Unknown,4.0,2750.0,1785.0,,,,,,False,,,,8056285606
MTClassifiedsFeb72026-1.pdf,"CMDA approved commercial independent building, east facing, four floors, land 2480 sq.ft., built up 5400 sq.ft., rent fetching, Mandaveli for sale. Contact: 63833 67112, 98407 94684",Chennai,Mandaveli,Land,,2480.0,,,East,,,,True,,,,
MTClassifiedsFeb72026-1.pdf,"ADYAR, Madhya kailash, gated community, 1350 sq.ft., 2 BHK, 3rd floor, east facing, 28 years, lift, palgani service area, OCP, 24 hours security, power backup, swimming pool, tennis court, gym and small party room. Only Owners Contact: 9677267659, 9841213222",Chennai,Adyar,Unknown,2.0,1350.0,,3.0,East,,,,False,,,,"9677267659, 9841213222"
MTClassifiedsFeb72026-1.pdf,"THIRUVANMIYUR, near Singapore shoppee, 995 sq.ft., 2 bedroom, resale residential flat, UDS 467 sq.ft., 1st floor, 13 years old with covered car parking, north facing, Rate 1 crore, negotiable. Ph: 9840032784",Chennai,Thiruvanmiyur,Apartment,,995.0,467.0,1.0,North,1.0,crore,10000000.0,False,,,,9840032784
MTClassifiedsFeb72026-1.pdf,"ECR, Thiruvanmiyur, near RTO Office Signal, on the Main Road, 700 sq.ft., 2 bedroom, residential flat, UDS 352 sq.ft., 2nd floor, 25 years old, two wheeler parking, only south facing. Contact: 9500049167",Chennai,Thiruvanmiyur,Apartment,,700.0,352.0,2.0,South,,,,False,,,,9500049167
MTClassifiedsFeb72026-1.pdf,"PALAVAKKAM, seaside close to ECR independent house, land area, 1550 sq.ft., with buildup area 3500 sq.ft., building in 6 bedroom, G+2 floors, west facing. Contact: 9840032784",Chennai,,Land,,1550.0,,,West,,,,False,,,,9840032784
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, individual house, CIT Colony, 4800 sq.ft., 2000 sq.ft., Mandaveli, 1700 sq.ft., 650 sq.ft., Mylapore, 2 BHK flat, Rs. 65 lakhs. Ph: 6374721876",Chennai,Mylapore,Independent House,2.0,4800.0,,,,65.0,lakhs,6500000.0,False,65.0,l,6500000.0,6374721876
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, 1000 sq,ft., 2 BHK, Rate 1.50 crore, UDS 600 sq.ft., 1st floor, open reserved car park, above 20 years old, well maintained apartment, near Vidhya Mandir School. Ph: 7010257539",Chennai,Mylapore,Apartment,2.0,600.0,600.0,1.0,,1.5,crore,15000000.0,False,,,,7010257539
MTClassifiedsFeb72026-1.pdf,"ALWARPET, 1100 sq.ft., 2 BHK, Rate 2.50 crore, hall, kitchen, dining, big balcony, childrens play area, gym, swimming pool, lift, CCP, backup security, gated community. Ph: 7010257539",Chennai,Alwarpet,Unknown,2.0,1100.0,,,,2.5,crore,25000000.0,False,,,,7010257539
MTClassifiedsFeb72026-1.pdf,"R A PURAM, brand new, 1500 sq.ft., 3 BHK, 2.73 crore, vaastu, balcony, lift, CCP, backup security. Ph: 8667089385",Chennai,,Unknown,3.0,1500.0,,,,2.73,crore,27300000.0,False,,,,8667089385
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, 2000 sq.ft., 3 BHK, Rate 5 crore, hall, dining, balconies, lift, 2 CCP, EV charging, CCTV, full backup, security, reputed builders. Contact: 8667089385",Chennai,Mylapore,Unknown,3.0,2000.0,,,,5.0,crore,50000000.0,False,,,,8667089385
MTClassifiedsFeb72026-1.pdf,"LLOYD’ S Road, 1000 sq.ft., 3 BHK, Rate 1.36 crore, 451 sq.ft., UDS same building 840 sq.ft., 2 BHK, ground floor, Rate 1.30 crore, commercial office, lift, OCP. Ph: 9841772888",Chennai,,Commercial,3.0,1000.0,,,,1.36,crore,13600000.0,False,,,,9841772888
MTClassifiedsFeb72026-1.pdf,"ADYAR land, 50×37 old house, Rate 4 crore, KP Nagar, land 3700 sq.ft., old house, Rate 7.50 crore, OMR, Perungudi land, 2600 sq.ft., 8 BHK, lift, 4 CCP, Rate 3.50 crore. Ph: 9789761666",Chennai,Adyar,Land,8.0,3700.0,,,,4.0,crore,40000000.0,False,,,,9789761666
MTClassifiedsFeb72026-1.pdf,"MANDAVELIPAKKAM, east face, premium, 5 BHK house for sale, 2285 sq.ft., land, 5000 sq.ft., building, marble flooring, 2 CCP, servant quarters, 30 ft road. Contact: 9444176299 / 9843641561",Chennai,Mandaveli,Land,5.0,2285.0,,,,,,,False,,,,"9444176299, 9843641561"
MTClassifiedsFeb72026-1.pdf,"INDEPENDENT old building for sale, MRC Nagar, Karpagam Avenue, 3920 sq.ft., Rate 13.20 crore. Contact: 9786613000",Chennai,MRC Nagar,Independent House,,3920.0,,,,13.2,crore,132000000.0,False,,,,9786613000
MTClassifiedsFeb72026-1.pdf,"ALWARPET, near Rain Tree, 2400 sq.ft., 4 BHK flat, 2 CCP, Rate 4.50 crore, negotiable, Alwarpet, Seethammal Colony, 3 BHK flat, 2000 sq.ft., flat, Rate 3.25 crore. Ph: 9841571836",Chennai,Alwarpet,Apartment,4.0,2400.0,,,,4.5,crore,45000000.0,False,,,,9841571836
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, good location, independent house, land 544 sq.ft., old building, 1.25 crore final. Ph: 9444742617",Chennai,Mylapore,Land,,544.0,,,,1.25,crore,12500000.0,False,,,,9444742617
MTClassifiedsFeb72026-1.pdf,"SALE, commercial, residence, Abhiramapuram, 670 sq.ft., UDS 1100 sq.ft., ground floor, 3rd Street, Warren Road Side, diagonally opposite, Oppilal Music School. Ph: 9884385333 / 9655926071",Chennai,,Commercial,,670.0,1100.0,,,,,,False,,,,"9884385333, 9655926071"
MTClassifiedsFeb72026-1.pdf,APARTMENTS for resale in Appaswamy Altezza in OMR Kandanchavadi. Please Contact: 9962078114,Chennai,,Apartment,,,,,,,,,False,,,,9962078114
MTClassifiedsFeb72026-1.pdf,"R A PURAM on Road, Kaliappa Hospital, 3 BHK, 1650 sq.ft., UDS 940 sq.ft., CCP, Rs. 2.50 crore. St. Mary’s Road, 3 BHK, 1500 sq.ft., 4th floor, CCP, Rs. 2.40 crore. Ph: 9790736113",Chennai,,Unknown,3.0,1650.0,940.0,4.0,,2.5,crore,25000000.0,False,2.5,,2.0,9790736113
MTClassifiedsFeb72026-1.pdf,"ABHIRAMAPURAM, 3600 sq.ft., land, Rs. 18 crore, Nandanam, 4500 sq.ft., land, Rate 18 crore, Venus Colony, 4800 sq.ft., land, Rate 20 crore. Ph: 8667089385",Chennai,,Land,,3600.0,,,,18.0,crore,180000000.0,False,18.0,,18.0,8667089385
MTClassifiedsFeb72026-1.pdf,"INDIVIDUAL building, old house, land at R A Puram, T Nagar, San Thome, Mylapore, 1/2, 1 ground to 3 ground. New 2/3 BHK flats, 2 to 4 crore, kindly buyer’s Contact: 9840719797",Chennai,Mylapore,Land,3.0,,,,,4.0,crore,40000000.0,False,,,,9840719797
MTClassifiedsFeb72026-1.pdf,"R A PURAM, brand new, ready to move, 2050 sq.ft., 3 BHK, 1st floor, east facing, 2 CCP, power backup, Price 5.10 crore, all inclusive. Ph: 9884088866",Chennai,,Unknown,3.0,2050.0,,1.0,East,5.1,crore,51000000.0,False,,,,9884088866
MTClassifiedsFeb72026-1.pdf,"TTK Road, CIT Colony, Mylapore, Venus Colony, 1750 sq.ft., 1816 sq.ft., 2700 sq.ft., 3, 16, 20 yrs old, 3&4 BHK, lift, covered car park, 1st, 2nd floor, Rs. 2.60C, Rs. 3.65C, Rs. 3.75C, Rs. 5.50C. Near TTK Road, independent house, land 1150 sq.ft., brand new, G+2, 6 BHK, Rs. 4.05C. Ph: 7395901657",Chennai,Mylapore,Land,4.0,1750.0,,2.0,,,,,False,2.6,,2.0,7395901657
MTClassifiedsFeb72026-1.pdf,"R A PURAM, brand new, 3 BHK, 2000 sq.ft., east facing, UDS 920 sq.ft., lift, genset, 2 CCP, Rate 4.60 crore. Ph: Mukesh Realtors 8939519299",Chennai,,Unknown,3.0,2000.0,920.0,,East,4.6,crore,46000000.0,False,8939519299.0,,8939519299.0,8939519299
MTClassifiedsFeb72026-1.pdf,"BRAND new, Mylapore, Mandavelipakkam, Abhiramapuram, ready to occupation, 2 BHK, Rs. 85 lakh and Rs. 90 lakh, lift, CCP, Rs. 65 lakh, Rs. 30 lakh. Ph: Esakki 9840122100 Please SMS",Chennai,Mylapore,Unknown,2.0,,,,,85.0,lakh,8500000.0,False,85.0,l,8500000.0,9840122100
MTClassifiedsFeb72026-1.pdf,"MANDAVALI, R A Puram, flat sale, 3 BHK, 3rd floor, 1200 sq.ft., lift, car park, UDS 600 sq.ft., 40ft road, Rate 1.75C, Mandavali flat house, 910 sq.ft., G+2, 40 frontage, 3.10C. Mylapore, Karneswarar Kovil, brand new flat, 1st floor, lift, 2 BHK, 700 sq.ft., Rs. 85L. Ph: Sri Sai Reality 9840994567",Chennai,Mylapore,Independent House,3.0,1200.0,600.0,3.0,,,,,False,85.0,L,8500000.0,9840994567
MTClassifiedsFeb72026-1.pdf,"ABIRAMAPURAM, 1900 sq.ft., 3 bedroom, CCP, genset, UDS 900 sq.ft., 9 years old, Rs. 3.35C, brand new, Venues Colony, 1850 sq.ft., 3 bedroom, CCP, genset, UDS 800 sq.ft., Rs. 2.85C. R A Puram, 1360 sq.ft., 2 bedroom, UDS 940 sq.ft., north facing, Rate 1.80C. Ph: 9840736132 / 9003621068",Chennai,,Unknown,,1900.0,900.0,,North,,,,False,3.35,,3.0,"9840736132, 9003621068"
MTClassifiedsFeb72026-1.pdf,"R A PURAM, 2200 sq.ft., 3 BHK, 2 car parks, 2nd floor, lift, generator. Ph: 9543600999",Chennai,,Unknown,3.0,2200.0,,2.0,,,,,False,,,,9543600999
MTClassifiedsFeb72026-1.pdf,"MYLAPORE, individual property, 1200 sq.ft., Rs. 3.5 crore, 1000 sq.ft., Rs. 2 crore, R A Puram, Mandaveli, 1 ground, Rate 6.5 crore, San Thome, 2 ground, Rs. 10 crore, Mandaveli, 1400 sq.ft., 500 sq.ft., to 10 grounds. Ph: 9841427924 / 9551729534",Chennai,Mylapore,Unknown,,1200.0,,,,3.5,crore,35000000.0,False,3.5,,3.0,"9841427924, 9551729534"
MTClassifiedsFeb72026-1.pdf,"2 BHK, new flat, 2yrs, Vidya Mandir, Rs. 1.30C, brand new flats, 2 BHK, 1117 sq.ft., 3 BHK, 1499 sq.ft., near Kapali Koil and Vidya Mandhir, Rs. 3.5 crore, 4.5 crore, 2 BHK flat, Karpagam Avenue, Rs. 1.5 crore. Ph: 8072203977 / 9551729534",Chennai,,Apartment,2.0,1117.0,,,,3.5,crore,35000000.0,False,1.3,,1.0,"8072203977, 9551729534"
MTClassifiedsFeb72026-2.pdf,"WANTED ground floor, godown space 1300 to 1500 sq.ft., hall type for home appliances, Mylapore, Mandaveli, Alwarpet, Abiramapuram reasonable rent. Ph: 9840291013",Chennai,Mylapore,Unknown,,1500.0,,,,,,,True,,,,9840291013
MTClassifiedsFeb72026-2.pdf,"WANTED 2/3 BHK flat in Alwarpet, Mylapore, R.A.Puram, MRC Nagar or near areas with swimming pool and other amenities for rent. Ph: 9940630357 RENTAL",Chennai,Mylapore,Apartment,3.0,,,,,,,,True,,,,9940630357
MTClassifiedsFeb72026-2.pdf,"GOPALAPURAM, 2 apartment, 2000 sq.ft., 3 BHK, 3 bath, 2 cover car park power backup, 2 balcony, north facing, 3rd floor, 4th floor, rent Rs. 90000 + maintenance. Ph: 9840999577, 9841999945",Chennai,Gopalapuram,Apartment,3.0,2000.0,,3.0,North,,,,True,90000.0,,90000.0,"9840999577, 9841999945"
MTClassifiedsFeb72026-2.pdf,"KOTTUR Garden, brand new apartment, 2200 sq.ft., 3 BHK, 3 bath, 2 cover car park, power backup, north facing. Ph: 9840999577, 9841999945",Chennai,,Apartment,3.0,2200.0,,,North,,,,False,,,,"9840999577, 9841999945"
MTClassifiedsFeb72026-2.pdf,"ALWARPET, St. Mary’s Road, near Alphabet School, 1460 sq.ft., 2 BHK, 2 bath, 1 car park, ground floor, rent Rs. 75000. Ph: 9840999577, 9841999945",Chennai,Alwarpet,Unknown,2.0,1460.0,,,,,,,True,75000.0,,75000.0,"9840999577, 9841999945"
MTClassifiedsFeb72026-2.pdf,"ALWARPET, St Mary’s Road, near Alphabet School, 2200 sq.ft., 3 BHK, 3 bath, 2 car park, 3rd floor, pooja room, rent Rs. 85000. Ph: 9840999577, 9841999945",Chennai,Alwarpet,Unknown,3.0,2200.0,,3.0,,,,,True,85000.0,,85000.0,"9840999577, 9841999945"
MTClassifiedsFeb72026-2.pdf,"ABIRAMAPURAM, brand new apartment, 1900 sq.ft., 3 BHK, 3 bath, pooja room, 2 balconies, 1 car, two flats available. Ph: 9840999577, 9841999945",Chennai,,Apartment,3.0,1900.0,,,,,,,False,,,,"9840999577, 9841999945"
MTClassifiedsFeb72026-2.pdf,"MANDAVELI, 1100 sq.ft., 2 bedroom, 2 bath room, ground floor, north facing, veg, Rs. 30000. Alwarpet, 1750 sq.ft., 3 bedroom, Rs. 75000. Ph: 9003186674",Chennai,Mandaveli,Unknown,,1100.0,,,North,,,,False,30000.0,,30000.0,9003186674
MTClassifiedsFeb72026-2.pdf,"ALWARPET, 1100 sq.ft., 2 BHK, 2 bath, 1 CP, 2nd floor, north facing, Rs. 35K. Abiramapuram, 2100 sq.ft., 3 BHK, 3 bath, 2 CCP, 1st floor, Rs. 1.40 lakhs. Ph: 7299141164",Chennai,Alwarpet,Unknown,2.0,1100.0,,2.0,North,1.4,lakhs,140000.0,False,35.0,K,35000.0,7299141164
MTClassifiedsFeb72026-2.pdf,"ST. MARY’S Road, 1500 sq.ft., 3 BHK, Rs. 70000. East Abiramapuram, 1400 sq.ft., 3 BHK, Rs. 55000. R K Nagar, 900 sq.ft., 2 BHK, Rs. 25000. Contact: 8015184176, 9884214816",Chennai,,Unknown,3.0,1500.0,,,,,,,False,70000.0,,70000.0,"8015184176, 9884214816"
MTClassifiedsFeb72026-2.pdf,"KOTTURPURAM, 2000 sq.ft., 3 BHK, 3 bath, 2 CCP, gated community, Rs. 1 lakhs. Mandavali, new, 1300 sq.ft., 3 BHK, 2 bath, 1 CCP, Rs. 50K. Ph: 6380844247",Chennai,,Unknown,3.0,2000.0,,,,1.0,lakhs,100000.0,False,1.0,l,100000.0,6380844247
MTClassifiedsFeb72026-2.pdf,"ALWARPET, CIT Colony, second floor, independent house, 1000 sq.ft., one large bedroom, hall, kitchen etc, fully furnished with attached terrace area suitable for single or couple, rent Rs. 40000, vegetarians only. Contact: 9094341951, 9600085976",Chennai,Alwarpet,Independent House,,1000.0,,,,,,,True,40000.0,,40000.0,"9094341951, 9600085976"
MTClassifiedsFeb72026-2.pdf,"MANDAVELI, 1st and 2nd Trust Link Street, behind St. John School, 2 BHK, 1 covered parking, 700 sq.ft., Rs. 30000 per month, ground floor, no broker. Kumuda Sundaram: 9500158940",Chennai,Mandaveli,Unknown,2.0,700.0,,,,,,,False,30000.0,,30000.0,9500158940
MTClassifiedsFeb72026-2.pdf,"R.A.PURAM, 2nd Main Road, 2 BHK flat, 800 sq.ft., ground floor, south facing, full wood work, 2 AC, 1 car park, vegetarian family and bachelor, Rs. 34000. R.A.Puram, near Sangeetha Hotel, 3 BHK, luxury flat, 1800 sq.ft., ground floor, east facing, lift, 1 covered car park, Rs. 60000. Ph: 8939936055",Chennai,R.A.Puram,Apartment,2.0,800.0,,,South,,,,False,34000.0,,34000.0,8939936055
MTClassifiedsFeb72026-2.pdf,"MYLAPORE, Kesava Perumal Street, 2 BHK flat, 1100 sq.ft., first floor, south facing, lift, 1 covered car park, vegetarian, Rs. 35000. R.A.Puram, Greenways Road, 3 BHK flat, 2nd floor, east facing, 2000 sq.ft., lift, 1 car park, Rs. 60000. Ph: 9962960999",Chennai,Mylapore,Apartment,2.0,1100.0,,2.0,South,,,,False,35000.0,,35000.0,9962960999
MTClassifiedsFeb72026-2.pdf,"R.A.PURAM, 1st Main Road, rent, 1650 sq.ft., cover car park, lift, power backup, rent Rs. 55000, Rs. 5000 maintenance charge. Ph: 9884464769",Chennai,R.A.Puram,Unknown,,1650.0,,,,,,,True,55000.0,,55000.0,9884464769
MTClassifiedsFeb72026-2.pdf,"ALWARPET, very good location, 2 BHK flat, 1100 sq.ft., first floor, north facing, 2 balconies, full wood work, lift, 1 car park, family and bachelor, rent Rs. 43000. Ph: 8939596955",Chennai,Alwarpet,Apartment,2.0,1100.0,,,North,,,,True,43000.0,,43000.0,8939596955
MTClassifiedsFeb72026-2.pdf,"MRC Nagar, opp Karpagam Avenue, single room, kitchen, attached bathroom, rent Rs. 17000. Contact Pooja Reality: 9841411179",Chennai,MRC Nagar,Unknown,,,,,,,,,True,17000.0,,17000.0,9841411179
MTClassifiedsFeb72026-2.pdf,"MRC Nagar, near Chettinad School, 3 BHK apartment, ground floor, veg only, rent Rs. 45000. Contact Pooja Reality: 9841411179",Chennai,MRC Nagar,Apartment,3.0,,,,,,,,True,45000.0,,45000.0,9841411179
MTClassifiedsFeb72026-2.pdf,"MCTM School, 2 BHK, 1200 sq.ft., car park, Rs. 40K, near Isabella, furnished, Rs. 25K, also flat, Rs. 30K. Mayur Realtors: 9940051164, 9566291287",Chennai,,Apartment,2.0,1200.0,,,,,,,False,40.0,K,40000.0,"9940051164, 9566291287"
MTClassifiedsFeb72026-2.pdf,"MYLAPORE, near Kapaleeswarar Temple, ground floor, one BHK, Rent 10000, vegetarian family or bachelor. Agent Ramu: 9445156540",Chennai,Mylapore,Unknown,,,,,,,,,True,,,,9445156540
MTClassifiedsFeb72026-2.pdf,"1800 sq.ft., 3 bedroom, 2 floor, with lift, covered car parking, power backup, C P Ramaswamy Road, Alwarpet, Rent 45K. Contact: 9345694459",Chennai,Alwarpet,Unknown,,1800.0,,,,,,,True,,,,9345694459
MTClassifiedsFeb72026-2.pdf,"MYLAPORE, 2 BHK for rent, close to Temples, Schools, 2nd floor, bike parking, no lift, veg only, Rs. 25000. Contact: 6382209489, 9962432048",Chennai,Mylapore,Unknown,2.0,,,2.0,,,,,True,25000.0,,25000.0,"6382209489, 9962432048"
MTClassifiedsFeb72026-2.pdf,"GROUND floor, independent 650 sq.ft., 1 BHK, in prime locality, near P S School for rent, Rs. 20000 plus maintenance, rent, non negotiable, semi furnished, well lit, ample water, CC camera, 1 bike parking facility, only vegetarians. Contact: 8778154438",Chennai,,Independent House,1.0,650.0,,,,,,,True,20000.0,,20000.0,8778154438
MTClassifiedsFeb72026-2.pdf,"MYLAPORE, opp Amurdanjan, independent house, 3 BHK, 2500 sq.ft., 2 CCP, Rs. 1.25 lakhs, 3 BHK flat, 1500 sq.ft., Rs.50K, CCP, veg only. Ph: 9841350607",Chennai,Mylapore,Independent House,3.0,2500.0,,,,1.25,lakhs,125000.0,False,1.25,l,125000.0,9841350607
MTClassifiedsFeb72026-2.pdf,"GOPALAPURAM, new 1800 sq.ft., 3 bedroom, Rs. 60000,1500 sq.ft., 3 bedroom, 1st floor, Rs. 50000, lift, car park, Mylapore, Dr.R.K Salai, opposite Yellow Pages, 1500 sq.ft., 3 bedroom, Rs. 40000. Contact: 9382509090, 9566024633",Chennai,Mylapore,Unknown,,1800.0,,1.0,,,,,False,60000.0,,60000.0,"9382509090, 9566024633"
MTClassifiedsFeb72026-2.pdf,"RENT, R.A.Puram, 2 BHK, ground floor, Rs. 37K, single person only, Alwarpet, Mylapore, Dr. R.K Salai, AC, geyser, Rent 15000. Contact: 7904163934",Chennai,Mylapore,Unknown,2.0,,,,,,,,True,37.0,K,37000.0,7904163934
MTClassifiedsFeb72026-2.pdf,"MANDAVELI, brand new, 3 bedroom, 3 bath, 1600 sq.ft., north facing, lift, backup, Rs. 65000, 3 bedroom, 2 bath, 1300 sq.ft., lift, CCP, backup, Rs. 50000. Ph: 9841630593",Chennai,Mandaveli,Unknown,,1600.0,,,North,,,,False,65000.0,,65000.0,9841630593
MTClassifiedsFeb72026-2.pdf,"MYLAPORE, 1 BHK, 2nd floor, no lift, Rs. 17500, 1 BHK, 1st floor, Rs.14K, 2 BHK, 1st floor, Rs. 50K, 1 BHK, ground floor, Rs. 11K. Ph: Agent 9884748295",Chennai,Mylapore,Unknown,1.0,,,2.0,,,,,False,17500.0,,17500.0,9884748295
